"pca_id","pca_description","product_family","business_unit","technology_group"
"73-8109-01","PCA,SINGLE 2X FC-2320,PMC","","",""
"73-8705-05","PCA,OTHER,SPA,CLEAR CHANNEL T3/E3 2-PORT,Pb-Free","SPA","SSEBU","CTG"
"73-2379-01E3","PCA,SUB,LINE CARD,CR","","",""
"73-5247-03","PCA,AIM: Metro WDM, 50KM","C6000","EBBU","ENGTG"
"73-2208-02","PCA,SUB,8TR,C1800","ERBUOLD","PABU","CTG"
"73-9973-01","PCA,DBRD,OPT2,**PLCM POC TEST**","","",""
"73-2699-02","PCA,SUB,UAI-2-155-SMF","","",""
"73-7414-01","PCA,TRANSPONDER TYPE I LC,MANHATTAN","","",""
"73-2210-02","PCA,SUB,FDDI,C1800","ERBUOLD","PABU","CTG"
"73-14759-01","PCA,DBRD,Viking Odin 8x10GE Daughter brd.,Large Memory with Pamequid,Pb-free","ASR9000","ERBU","CTG"
"73-5938-06","PCA,7300-12T3/6T3,MOTHERBRD,(ARRAKIS)","7304","SRGBU","ENGTG"
"73-17422-01","PCA, FWD AMP, GMSA HGBT, 1.2GHz","","",""
"73-14220-04","PCA,MBRD,N7K,ROUEN_CR,48P,10G,BASE-T,LC","N7000","ECBU","CTG"
"73-17838-01","PCA,DBRD,I/O BOARD,TURIN SWITCH","","",""
"73-16660-04","PCA,OTHER, Line card, 1x100G/2x40G","","",""
"73-16659-03","PCA,OTHER,Line card, 8x10G","","",""
"73-16760-04","PCA,DBRD,Interface Module,2x40G","","",""
"73-16840-02","PCA,HALO,PATRICK STAR,LINEAR ARRAY SWITCH BOARD,-20 to 55C","","",""
"73-16162-04","PCA,MBRD,TU862HF,N3K,NeptuneCR","N3000","INSBU","INSTG"
